scheme,model,cutoff_year,train_start_year,train_end_year,test_start_year,test_end_year,train_rows,test_rows,accuracy,precision,recall,f1_score,tn,fp,fn,tp,predicted_positive_rate,actual_positive_rate,roc_auc,average_precision,brier_score,log_loss,f1_difference_vs_persistence
rolling_one_year,Persistence baseline,2018,1989,2018,2019,2019,5693,194,0.9226804123711341,0.8636363636363636,0.9047619047619048,0.8837209302325582,122,9,6,57,0.3402061855670103,0.3247422680412371,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2018,1989,2018,2019,2019,5693,194,0.9123711340206185,0.859375,0.873015873015873,0.8661417322834646,122,9,8,55,0.32989690721649484,0.3247422680412371,0.9678904640736703,0.9562598142800397,0.05826448503389597,0.20344119104019376,-0.017579197949093572
rolling_one_year,Persistence baseline,2019,1989,2019,2020,2020,5887,194,0.9072164948453608,0.873015873015873,0.8461538461538461,0.859375,121,8,10,55,0.3247422680412371,0.33505154639175255,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2019,1989,2019,2020,2020,5887,194,0.9226804123711341,0.890625,0.8769230769230769,0.8837209302325582,122,7,8,57,0.32989690721649484,0.33505154639175255,0.9805605247465712,0.9638640307347679,0.060149036995241136,0.20690830806559402,0.024345930232558155
rolling_one_year,Persistence baseline,2020,1989,2020,2021,2021,6081,194,0.9226804123711341,0.8923076923076924,0.8787878787878788,0.8854961832061069,121,7,8,58,0.33505154639175255,0.3402061855670103,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2020,1989,2020,2021,2021,6081,194,0.9123711340206185,0.8769230769230769,0.8636363636363636,0.8702290076335878,120,8,9,57,0.33505154639175255,0.3402061855670103,0.9618844696969697,0.9509950916032437,0.06678662577900925,0.22408541598930287,-0.01526717557251911
rolling_one_year,Persistence baseline,2021,1989,2021,2022,2022,6275,194,0.8969072164948454,0.8333333333333334,0.859375,0.8461538461538461,119,11,9,55,0.3402061855670103,0.32989690721649484,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2021,1989,2021,2022,2022,6275,194,0.9123711340206185,0.873015873015873,0.859375,0.8661417322834646,122,8,9,55,0.3247422680412371,0.32989690721649484,0.9624999999999999,0.9413762690865837,0.06751805431774888,0.23514145577288154,0.019987886129618437
rolling_one_year,Persistence baseline,2022,1989,2022,2023,2023,6469,194,0.9072164948453608,0.8125,0.896551724137931,0.8524590163934426,124,12,6,52,0.32989690721649484,0.29896907216494845,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2022,1989,2022,2023,2023,6469,194,0.9278350515463918,0.84375,0.9310344827586207,0.8852459016393442,126,10,4,54,0.32989690721649484,0.29896907216494845,0.9693204868154157,0.9474918315852554,0.06670075557873181,0.23328273065841804,0.032786885245901676
