ucdp_country,ucdp_normalized,world_bank_country_code,world_bank_country_name,world_bank_normalized,similarity_score,match_type,review_status,include_in_merge,review_notes
Ivory Coast,ivory coast,CIV,Cote d'Ivoire,timor leste,0.5455,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Jamaica,jamaica,JAM,Jamaica,jamaica,1.0,exact_normalized,auto_accepted,True,
Japan,japan,JPN,Japan,japan,1.0,exact_normalized,auto_accepted,True,
Jordan,jordan,JOR,Jordan,jordan,1.0,exact_normalized,auto_accepted,True,
Kazakhstan,kazakhstan,KAZ,Kazakhstan,kazakhstan,1.0,exact_normalized,auto_accepted,True,
Kenya,kenya,KEN,Kenya,kenya,1.0,exact_normalized,auto_accepted,True,
Kingdom of eSwatini (Swaziland),kingdom of eswatini (swaziland),SWZ,Eswatini,eswatini,0.4103,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Kiribati,kiribati,KIR,Kiribati,kiribati,1.0,exact_normalized,auto_accepted,True,
Kosovo,kosovo,XKX,Kosovo,kosovo,1.0,exact_normalized,auto_accepted,True,
Kuwait,kuwait,KWT,Kuwait,kuwait,1.0,exact_normalized,auto_accepted,True,
Kyrgyzstan,kyrgyzstan,KGZ,Kyrgyz Republic,kazakhstan,0.6,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Laos,laos,LAO,Lao PDR,belarus,0.5455,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Latvia,latvia,LVA,Latvia,latvia,1.0,exact_normalized,auto_accepted,True,
Lebanon,lebanon,LBN,Lebanon,lebanon,1.0,exact_normalized,auto_accepted,True,
Lesotho,lesotho,LSO,Lesotho,lesotho,1.0,exact_normalized,auto_accepted,True,
Liberia,liberia,LBR,Liberia,liberia,1.0,exact_normalized,auto_accepted,True,
Libya,libya,LBY,Libya,libya,1.0,exact_normalized,auto_accepted,True,
Liechtenstein,liechtenstein,LIE,Liechtenstein,liechtenstein,1.0,exact_normalized,auto_accepted,True,
Lithuania,lithuania,LTU,Lithuania,lithuania,1.0,exact_normalized,auto_accepted,True,
Luxembourg,luxembourg,LUX,Luxembourg,luxembourg,1.0,exact_normalized,auto_accepted,True,
Madagascar (Malagasy),madagascar (malagasy),MDG,Madagascar,madagascar,0.6452,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Malawi,malawi,MWI,Malawi,malawi,1.0,exact_normalized,auto_accepted,True,
Malaysia,malaysia,MYS,Malaysia,malaysia,1.0,exact_normalized,auto_accepted,True,
Maldives,maldives,MDV,Maldives,maldives,1.0,exact_normalized,auto_accepted,True,
Mali,mali,MLI,Mali,mali,1.0,exact_normalized,auto_accepted,True,
Malta,malta,MLT,Malta,malta,1.0,exact_normalized,auto_accepted,True,
